QNo.,Question,Option A,Option B,Option C,Option D,Answer,Level
198,"What will be the output of the following code? x = {1: 'a', 2: 'b', 3: 'c'} del x[1] print(x)","{2: 'b', 3: 'c'}","{1: 'a', 3: 'c'}",Error,None,A,Hard
199,"What will be the output of the following code? x = [1, 2, 3] y = x y[0] = 100 print(x)","[100, 2, 3]","[1, 2, 3]",Error,None,A,Hard
200,"What will be the output of the following code? x = [1, 2, 3] y = x.copy() y[0] = 100 print(x, y)","[1, 2, 3] [100, 2, 3]","[100, 2, 3] [100, 2, 3]",Error,None,A,Hard
201,"What will be the output of the following code? x = [1, 2, 3] y = x x += [4] print(x, y)","[1, 2, 3, 4] [1, 2, 3]","[1, 2, 3, 4] [1, 2, 3, 4]",Error,None,B,Hard
202,"What will be the output of the following code? x = (1, 2, 3) y = list(x) y[0] = 100 print(y)","[100, 2, 3]","(100, 2, 3)",Error,None,A,Hard
203,"What will be the output of the following code? x = (1, 2, 3) y = (4, 5, 6) print(x + y)","(1, 2, 3, 4, 5, 6)","[1, 2, 3, 4, 5, 6]",Error,None,A,Hard
204,What will be the output of the following code? x = {i: i**2 for i in range(3)} y = x.keys() print(y),"[0, 1, 2]","dict_keys([0, 1, 2])",Error,None,B,Hard
205,"What will be the output of the following code? x = [1, 2, 3, 4, 5] y = x[1:-1] print(y)","[2, 3, 4]","[1, 2, 3, 4, 5]","[2, 3]","[2, 3, 4, 5]",A,Hard
206,"What will be the output of the following code? def f(x): return x * x x = [1, 2, 3] y = [f(i) for i in x] print(y)","[1, 4, 9]","[2, 4, 6]","[3, 6, 9]",Error,A,Hard
207,"What will be the output of the following code? x = [1, 2, 3] y = [x] * 3 x[1] = 100 print(y)","[[1, 100, 3], [1, 2, 3], [1, 2, 3]]","[[1, 100, 3], [1, 100, 3], [1, 100, 3]]","[[1, 2, 3], [1, 2, 3], [1, 2, 3]]",Error,B,Hard
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
